time,tank1.storage,tank2.storage,pid_controller.output
0.0,4.4,3.7,2.6
1.0,6.9399999999999995,3.6775,2.9799999999999995
2.0,9.264499999999998,3.9118125,3.0184999999999995
3.0,10.868337499999999,4.3492859374999995,2.5302875000000005
4.0,11.400335312500001,4.8924589453125,1.6188315625000014
5.0,10.7506916484375,5.420935108398437,0.49038986718750033
6.0,9.074314936132815,5.818387384692382,-0.6013075474609361
7.0,6.754344547397464,5.998520455219116,-1.4125388951220694
8.0,4.314912613843876,5.924139853056473,-1.7639974788138417
9.0,2.303027929009973,5.615113632808801,-1.580393423449515
10.0,1.166195598916439,5.143527221608698,-0.9065295371925368
11.0,1.1531466975478093,4.617205878799255,0.1035706585230142
12.0,2.259692249859674,4.155369813704129,1.2218602220666457
13.0,4.2314757569030315,3.8619178119770803,2.197752732029325
14.0,6.6226011038144055,3.8023256611702485,2.8142729226016767
15.0,8.896635726071171,3.989295063905408,2.936294732638207
16.0,10.547117797470406,4.380296753524349,2.5401456440063517
17.0,11.210502463697509,4.887471439080846,1.7180964459741437
18.0,10.746365650312045,5.397587755565491,0.6569134329842874
19.0,9.267180294275216,5.797525851151009,-0.40454879100562513
20.0,7.111373808005496,5.9995531491846545,-1.2290884568421983
21.0,4.766093458152927,5.960746386337123,-1.6341429690520197
22.0,2.757297060787555,5.692262433860275,-1.532187051550079
23.0,1.5319605595410453,5.256459335706496,-0.949606795167754
24.0,1.3587775439945615,4.752597974697288,-0.019986959592379172
25.0,2.2694048859791276,4.294400982259583,1.0465050963840223
26.0,4.053091196128936,3.9845413480750485,2.0106267987477215
27.0,6.305505329698744,3.891782799178561,2.6577232531827013
28.0,8.520466325142666,4.035860482251115,2.8455115284137964
29.0,10.203771690687455,4.383424554483993,2.535351998059056
30.0,10.98353272518345,4.855873654242239,1.80013820356474
31.0,10.692389577526445,5.347242719980304,0.8072101248613395
32.0,9.40343835817107,5.7480763377354105,-0.21971226160273138
33.0,7.4121751154589575,5.969910631335591,-1.0509194068950052
34.0,5.168878208761598,5.964889313964538,-1.5020793951514637
35.0,3.176892501565244,5.736165970595131,-1.475097886320194
36.0,1.8797864677670035,5.336834474427264,-0.979416783641716
37.0,1.5626746586408244,4.857708811900556,-0.1291331623494787
