time,channel.output,gate.output,mpc_controller.output,inflow_to_channel.output
0.0,0.0,0.0,-1.3670861276148292e-15,10.0
1.0,0.0,0.0,-8.401909262781122e-17,10.0
2.0,0.0,0.0,2.07349758844458e-15,10.0
3.0,0.0,0.0,-3.5528143574859116e-15,10.0
4.0,0.0,0.0,-3.776943145489055e-15,10.0
5.0,10.0,0.000625424935018667,0.00010524208367264006,10.0
6.0,10.0,0.0005720986799979859,9.626871871931028e-05,10.0
7.0,10.0,0.0005233192398973678,8.806045961556896e-05,10.0
8.0,10.0,0.0004786989316712593,8.055206980106479e-05,10.0
9.0,10.0,0.000437883130759306,7.368387556347272e-05,10.0
10.0,10.0,0.00040054744944224624,6.740129123218483e-05,10.0
11.0,10.0,0.00036639515896104083,6.165438539075391e-05,10.0
12.0,10.0,0.0003351548304335517,5.639748390704084e-05,10.0
13.0,10.0,0.0003065781783795591,5.158880705685987e-05,10.0
14.0,10.0,0.0002804380868439163,4.719013737394664e-05,10.0
15.0,10.0,0.00025652680498169066,4.316651601579064e-05,10.0
16.0,10.0,0.00023465429522547796,3.9485964804916276e-05,10.0
17.0,10.0,0.00021464672399828329,3.6119232256723454e-05,10.0
18.0,10.0,0.00019634507887039188,3.303956088442835e-05,10.0
19.0,10.0,0.00017960390584646787,3.022247471866912e-05,10.0
20.0,10.0,0.00016429015264663433,2.7645584663028885e-05,10.0
21.0,10.0,0.00015028211179852655,2.5288410645043312e-05,10.0
22.0,10.0,0.00013746845312335318,2.313221880979933e-05,10.0
23.0,10.0,0.00012574733862071814,2.1159872579014505e-05,10.0
24.0,10.0,0.0001150256135349839,1.9355696529407197e-05,10.0
25.0,10.0,0.00010521806588606509,1.7705351791776754e-05,10.0
26.0,10.0,9.624674933493845e-05,1.6195722107601738e-05,10.0
27.0,10.0,8.804036349869263e-05,1.4814809552840275e-05,10.0
28.0,10.0,8.053368714690308e-05,1.3551639160225717e-05,10.0
29.0,10.0,7.366706032145498e-05,1.239617177405405e-05,10.0
30.0,10.0,6.738590967463832e-05,1.1339224177436388e-05,10.0
31.0,10.0,6.164031534711371e-05,1.0372396209587068e-05,10.0
32.0,10.0,5.638461357275264e-05,9.488003894977415e-06,10.0
33.0,10.0,5.1577034057888906e-05,8.679018424081443e-06,10.0
34.0,10.0,4.7179368198214034e-05,7.939010323262115e-06,10.0
35.0,10.0,4.315666502627486e-05,7.262098290967174e-06,10.0
36.0,10.0,3.947695381416217e-05,6.642902519271957e-06,10.0
37.0,10.0,3.611098954808132e-05,6.076501864140697e-06,10.0
38.0,10.0,3.30320209718467e-05,5.558394813426703e-06,10.0
39.0,10.0,3.0215577708622722e-05,5.084463665224858e-06,10.0
40.0,10.0,2.7639275685155566e-05,4.650941786037822e-06,10.0
41.0,10.0,2.5282639673672517e-05,4.254383749382227e-06,10.0
42.0,10.0,2.312693980012228e-05,3.891637824551932e-06,10.0
43.0,10.0,2.115504366430714e-05,3.5598210924399985e-06,10.0
44.0,10.0,1.935127938646003e-05,3.256296399985517e-06,10.0
45.0,10.0,1.7701311259101296e-05,2.978651435747732e-06,10.0
46.0,10.0,1.6192026123027417e-05,2.724679610061219e-06,10.0
47.0,10.0,1.481142861227826e-05,2.4923624276000426e-06,10.0
48.0,10.0,1.3548546536744504e-05,2.2798535658322683e-06,10.0
49.0,10.0,1.2393342865489003e-05,2.085464064195939e-06,10.0
50.0,10.0,1.1336636479533777e-05,1.9076489889386764e-06,10.0
51.0,10.0,1.0370029218141208e-05,1.7449951569819732e-06,15.0
52.0,10.0,9.485838713453141e-06,1.5962098338094042e-06,15.0
53.0,10.0,8.67703782191422e-06,1.4601105414150186e-06,15.0
54.0,10.0,7.93719850414095e-06,1.335615614804714e-06,15.0
55.0,10.0,7.260441004442634e-06,1.2217356502855334e-06,15.0
56.0,15.0,30.761816722682468,3.6602540380187443,15.0
57.0,15.0,30.761816721075018,3.6602540378274786,15.0
58.0,15.0,30.76181672107515,3.6602540378274946,15.0
59.0,15.0,30.7618167210751,3.6602540378274884,15.0
60.0,15.0,30.761816721075093,3.660254037827488,15.0
61.0,15.0,30.761816721075093,3.660254037827488,15.0
62.0,15.0,30.761816721075093,3.660254037827488,15.0
63.0,15.0,30.761816721075093,3.660254037827488,15.0
64.0,15.0,30.761816721075093,3.660254037827488,15.0
65.0,15.0,30.761816721075093,3.660254037827488,15.0
66.0,15.0,30.761816721075093,3.660254037827488,15.0
67.0,15.0,30.761816721075093,3.660254037827488,15.0
68.0,15.0,30.761816721075093,3.660254037827488,15.0
