time,pipe1.flow,pump1.flow,hydropower1.flow,valve1.flow
0.0,0.07704755982928968,6.0,168.19024656620257,8.838106414837965
1.0,0.15401953600238683,6.0,168.19024656620257,8.838106414837965
2.0,0.2307650577244345,6.0,168.19024656620257,8.838106414837965
3.0,0.3071345855140743,6.0,168.19024656620257,8.838106414837965
4.0,0.3829810774262855,6.0,168.19024656620257,8.838106414837965
5.0,0.4581611194473833,6.0,168.19024656620257,8.838106414837965
6.0,0.5325360016316776,6.0,168.19024656620257,8.838106414837965
7.0,0.6059727229557295,6.0,168.19024656620257,8.838106414837965
8.0,0.6783449097312048,6.0,168.19024656620257,8.838106414837965
9.0,0.7495336346662578,6.0,168.19024656620257,8.838106414837965
10.0,0.8194281262089373,6.0,168.19024656620257,8.838106414837965
11.0,0.8879263605455662,6.0,168.19024656620257,8.838106414837965
12.0,0.9549355314595929,6.0,168.19024656620257,8.838106414837965
13.0,1.0203723960804885,6.0,168.19024656620257,8.838106414837965
14.0,1.0841634972725536,6.0,168.19024656620257,8.838106414837965
15.0,1.1462452659452445,6.0,168.19024656620257,8.838106414837965
16.0,1.2065640088389515,6.0,168.19024656620257,8.838106414837965
17.0,1.265075789298347,6.0,168.19024656620257,8.838106414837965
18.0,1.321746210152091,6.0,168.19024656620257,8.838106414837965
19.0,1.3765501090528365,6.0,168.19024656620257,8.838106414837965
20.0,1.4294711774916125,6.0,168.19024656620257,8.838106414837965
21.0,1.48050151519703,6.0,168.19024656620257,8.838106414837965
22.0,1.5296411317861787,6.0,168.19024656620257,8.838106414837965
23.0,1.57689740738416,6.0,168.19024656620257,8.838106414837965
24.0,1.6222845235136782,6.0,168.19024656620257,8.838106414837965
25.0,1.6658228749199764,6.0,168.19024656620257,8.838106414837965
26.0,1.7075384721864457,6.0,168.19024656620257,8.838106414837965
27.0,1.7474623440587347,6.0,168.19024656620257,8.838106414837965
28.0,1.78562994737407,6.0,168.19024656620257,8.838106414837965
29.0,1.822080591427971,6.0,168.19024656620257,8.838106414837965
30.0,1.856856882538003,6.0,168.19024656620257,8.838106414837965
31.0,1.890004193513719,6.0,168.19024656620257,8.838106414837965
32.0,1.9215701617379646,6.0,168.19024656620257,8.838106414837965
33.0,1.9516042186261593,6.0,168.19024656620257,8.838106414837965
34.0,1.9801571523707173,6.0,168.19024656620257,8.838106414837965
35.0,2.0072807051062864,6.0,168.19024656620257,8.838106414837965
36.0,2.033027204952666,6.0,168.19024656620257,8.838106414837965
