time,hydrological_model_placeholder.output
0.0,3.9930555555555554
1.0,4.0350115740740735
2.0,4.283552758487654
3.0,4.438404726884001
4.0,4.336804529930501
5.0,4.156104341183397
6.0,3.9829333269674225
7.0,3.816977771677113
8.0,3.6579370311905666
9.0,3.5055229882242926
10.0,3.3594595303816135
11.0,3.2194820499490464
12.0,3.0853369645345023
13.0,2.956781257678898
14.0,2.833582038608944
15.0,2.7155161203335716
16.0,2.6023696153196725
17.0,2.4939375480146864
18.0,2.3900234835140743
19.0,2.290439171700988
20.0,2.1950042062134467
21.0,2.10354569762122
22.0,2.0158979602203355
23.0,1.9319022118778217
24.0,1.8514062863829126
25.0,1.7742643577836246
26.0,1.700336676209307
27.0,1.629489314700586
28.0,1.5615939265880616
29.0,1.4965275129802258
30.0,1.4341721999393833
31.0,1.374415024941909
32.0,1.317147732235996
33.0,1.262266576726163
34.0,1.2096721360292395
35.0,1.1592691303613545
36.0,1.1109662499296313
37.0,1.0646759895158966
38.0,1.020314489952734
39.0,0.9778013862047036
40.0,0.9370596617795076
41.0,0.8980155092053614
42.0,0.8605981963218047
43.0,0.8247399381417294
44.0,0.7903757740524907
45.0,0.7574434501336369
46.0,0.7258833063780687
47.0,0.6956381686123159
48.0,0.666653244920136
49.0,0.6388760263817971
50.0,0.6122561919492221
51.0,0.5867455172846713
52.0,0.56229778739781
53.0,0.5388687129229012
54.0,0.516415849884447
55.0,0.49489852280592833
56.0,0.474277751022348
57.0,0.45451617806308353
58.0,0.4355780039771217
59.0,0.41742892047807495
60.0,0.40003604879148846
61.0,0.38336788009184314
62.0,0.36739421842134967
63.0,0.3520861259871268
64.0,0.33741587073766316
65.0,0.3233568761235939
66.0,0.3098836729517775
67.0,0.29697185324545344
68.0,0.2845980260268929
69.0,0.272739774942439
70.0,0.26137561765317074
71.0,0.25048496691762195
72.0,0.2400480932960544
73.0,0.23004608940871882
74.0,0.22046083568335553
75.0,0.2112749675298824
76.0,0.20247184388280395
77.0,0.19403551705435382
78.0,0.18595070384375575
79.0,0.17820275785026593
80.0,0.1707776429398382
81.0,0.16366190781734494
82.0,0.1568426616582889
83.0,0.1503075507558602
84.0,0.14404473614103266
85.0,0.1380428721351563
86.0,0.13229108579619145
87.0,0.12677895722135016
88.0,0.12149650067046057
89.0,0.11643414647585804
90.0,0.11158272370603062
91.0,0.10693344355161268
92.0,0.10247788340362883
93.0,0.09820797159514429
94.0,0.09411597277867995
95.0,0.09019447391290163
96.0,0.08643637083319738
97.0,0.08283485538181416
98.0,0.07938340307423856
99.0,0.07607576127947863
100.0,0.07290593789283369
101.0,0.06986819048063228
102.0,0.06695701587727261
103.0,0.06416714021571958
104.0,0.06149350937339793
105.0,0.05893127981617302
106.0,0.05647580982383248
107.0,0.05412265108117279
108.0,0.05186754061945726
109.0,0.04970639309364654
110.0,0.047635293381411266
111.0,0.045650489490519135
112.0,0.0437483857617475
113.0,0.041925536355008015
114.0,0.040178639006882684
115.0,0.03850452904826257
116.0,0.036900173671251625
117.0,0.03536266643494947
118.0,0.03388922200015992
119.0,0.032477171083486585
120.0,0.031123955621674648
121.0,0.0298271241374382
122.0,0.028584327298378277
123.0,0.027393313660945853
124.0,0.026251925591739774
125.0,0.025158095358750618
126.0,0.024109841385469344
127.0,0.02310526466107479
128.0,0.022142545300196673
129.0,0.02121993924602181
130.0,0.020335775110770903
131.0,0.019488451147822116
132.0,0.018676432349996195
133.0,0.017898247668746353
134.0,0.01715248734921525
135.0,0.016437800376331285
136.0,0.01575289202731748
137.0,0.01509652152617925
138.0,0.014467499795921782
139.0,0.013864687304425041
140.0,0.013286992000073999
141.0,0.01273336733340425
142.0,0.012202810361179072
143.0,0.011694359929463277
144.0,0.011207094932402307
145.0,0.010740132643552211
146.0,0.010292627116737535
147.0,0.009863767653540138
148.0,0.009452777334642632
149.0,0.009058911612365855
150.0,0.008681456961850612
151.0,0.00831972958844017
152.0,0.007973074188921828
153.0,0.007640862764383419
154.0,0.00732249348253411
155.0,0.007017389587428522
156.0,0.006724998354619
157.0,0.006444790089843208
158.0,0.006176257169433074
159.0,0.005918913120706696
160.0,0.005672291740677251
161.0,0.005435946251482366
162.0,0.005209448491003934
163.0,0.004992388137212103
164.0,0.004784371964828266
165.0,0.004585023132960421
166.0,0.0043939805024204035
167.0,0.00421089798148622
168.0,0.004035443898924295
169.0,0.0038673004031357823
170.0,0.003706162886338458
171.0,0.003551739432741022
172.0,0.0034037502897101466
173.0,0.003261927360972224
174.0,0.0031260137209317145
175.0,0.0029957631492262267
176.0,0.0028709396846751337
177.0,0.0027513171978136696
178.0,0.0026366789812381
179.0,0.0025268173570198458
180.0,0.0024215333004773522
181.0,0.002320636079624129
182.0,0.0022239429096397906
183.0,0.0021312786217381322
184.0,0.002042475345832377
185.0,0.0019573722064226942
186.0,0.001875815031155082
187.0,0.0017976560715236203
188.0,0.001722753735210136
189.0,0.0016509723295763804
190.0,0.0015821818158440312
191.0,0.0015162575735171964
192.0,0.0014530801746206465
193.0,0.0013925351673447861
194.0,0.0013345128687054203
195.0,0.0012789081658426944
196.0,0.0012256203255992487
197.0,0.0011745528120326134
198.0,0.0011256131115312544
199.0,0.0010787125652174522
