time,upstream_channel.output,downstream_channel.output,mpc_controller.output,upstream_inflow.output,downstream_demand.output
91.0,15.0,-7.999999992067403,8.697339785384053e-14,15.0,8.0
92.0,15.0,-8.0,2.8533412639572772e-11,15.0,8.0
93.0,15.0,-8.0,-2.7472517708922186e-11,15.0,8.0
94.0,15.0,-8.0,-1.0872560932835088e-12,15.0,8.0
95.0,15.0,-8.0,-3.4384324828774576e-13,15.0,8.0
96.0,15.0,-8.0,4.621090196279453e-14,15.0,8.0
97.0,15.0,-8.0,4.289529444805473e-13,15.0,8.0
98.0,15.0,-8.0,-1.910356671480313e-13,15.0,8.0
99.0,15.0,-7.999999999999388,-3.5322419336707444e-14,15.0,8.0
100.0,15.0,-7.999999999799367,1.9686630593359814e-14,15.0,8.0
101.0,15.0,-8.0,9.031440985087415e-13,10.0,12.0
102.0,15.0,-8.0,-6.490732064506515e-13,10.0,12.0
103.0,15.0,-8.0,2.666975518872908e-14,10.0,12.0
104.0,15.0,-7.999999999999675,2.0744068665610368e-13,10.0,12.0
105.0,15.0,-7.999999999996984,1.0534772140344606e-13,10.0,12.0
106.0,10.0,-8.0,-6.751877659087421e-05,10.0,12.0
107.0,10.0,-8.0,-2.7329203849735788e-06,10.0,12.0
108.0,10.0,-7.9999999999998614,-1.1061835303201973e-07,10.0,12.0
109.0,10.0,-11.99999999999365,-4.477751973880178e-09,10.0,12.0
110.0,10.0,-12.0,-2.1606008796601942e-05,10.0,12.0
111.0,10.0,-11.999999999999812,-8.745345500229574e-07,10.0,12.0
112.0,10.0,-11.999999999998542,-3.539765599949981e-08,10.0,12.0
113.0,10.0,-11.99999999999926,-1.4328860673151319e-09,10.0,12.0
114.0,10.0,-12.0,-5.799222842284806e-11,10.0,12.0
115.0,10.0,-12.0,-2.213610447577708e-12,10.0,12.0
116.0,10.0,-12.0,5.741027718470727e-14,10.0,12.0
117.0,10.0,-12.0,3.2031869441759035e-14,10.0,12.0
118.0,10.0,-12.0,3.942609911873807e-14,10.0,12.0
119.0,10.0,-12.0,9.136488815963276e-14,10.0,12.0
120.0,10.0,-12.0,-6.945409883720332e-15,10.0,12.0
121.0,10.0,-12.0,-1.138505006066981e-14,10.0,12.0
122.0,10.0,-12.0,1.716355682183689e-13,10.0,12.0
123.0,10.0,-12.0,-2.950208663331936e-14,10.0,12.0
124.0,10.0,-11.999999999999785,3.253160330030181e-15,10.0,12.0
125.0,10.0,-11.99999999999988,4.874362975073851e-14,10.0,12.0
126.0,10.0,-11.999999999999853,1.2038906377342198e-14,10.0,12.0
127.0,10.0,-11.999999999999657,6.698449914331447e-14,10.0,12.0
128.0,10.0,-12.0,-3.269125167742605e-14,10.0,12.0
129.0,10.0,-12.0,9.826270129520969e-15,10.0,12.0
130.0,10.0,-11.999999999999355,1.7270907747173717e-13,10.0,12.0
131.0,10.0,-12.0,-1.420374711646553e-14,10.0,12.0
132.0,10.0,-11.999999999999988,1.6455347630200992e-15,10.0,12.0
133.0,10.0,-11.999999999999817,-9.689641103233857e-14,10.0,12.0
134.0,10.0,-11.999999999999956,-5.370773131879061e-14,10.0,12.0
135.0,10.0,-11.999999999999748,-7.55393510219976e-15,10.0,12.0
136.0,10.0,-12.0,-1.3968717105677996e-13,10.0,12.0
137.0,10.0,-11.999999999999963,4.894740324845182e-15,10.0,12.0
138.0,10.0,-11.999999999999352,-7.320533871074175e-15,10.0,12.0
139.0,10.0,-12.0,-4.7402081260588616e-14,10.0,12.0
140.0,10.0,-11.999999999999995,2.0397430256795787e-13,10.0,12.0
141.0,10.0,-12.0,-5.093878898182808e-15,10.0,12.0
142.0,10.0,-12.0,-1.2463641290541285e-13,10.0,12.0
143.0,10.0,-12.0,-1.0933122180348342e-14,10.0,12.0
144.0,10.0,-12.0,2.6979287160933536e-14,10.0,12.0
145.0,10.0,-11.999999999999982,-1.231315402228271e-13,10.0,12.0
