time,main_reservoir.storage,main_tunnel.output,surge_tank.storage,pressure_pipe_1.output,pressure_pipe_2.output,high_level_tank.storage,final_channel.output
0.0,549.0,43.621478260869566,99.0,39.30749212820004,31.912441506009404,110.9124415060094,9.791304347826088
1.0,597.902,25.145766495274103,98.01,38.66528602898858,28.64870942435153,138.1747454115358,9.18638941398866
2.0,646.7061960000001,14.745470852807104,97.02990000000001,38.06774921043542,25.254910860277214,161.70247195416883,8.844480973124027
3.0,695.412783608,8.909455849223495,96.05960100000001,37.50999093523538,21.76909954461392,181.45029059935564,8.65122837611358
4.0,744.021958040784,5.653166815594006,95.09900499000001,36.98774810664561,18.223036486738504,197.4051984536022,8.541998647368548
5.0,792.5339141247025,3.854899108697447,94.14801494010001,36.497291494645594,14.643654291632485,209.58128776456465,8.480260105034397
6.0,840.9488462964531,2.8806459255909296,93.20653479069901,36.03534817464734,11.0542616313145,218.0157832988221,8.445364407193356
7.0,889.2669486038602,2.3720557640198083,92.27446944279203,35.59903698619473,7.475533104573497,222.7661191121603,8.425640751891898
8.0,937.4884147066525,2.1265822913457164,91.3517247483641,35.185814521634704,3.926329041053554,223.90787166431187,8.414492598895421
9.0,985.6134378772392,2.029742966115256,90.43820750088047,34.79342968740379,0.4243850222446673,221.53340829075265,8.408191468940892
10.0,1033.6422110014848,2.0168304328603734,89.53382542587165,34.41988528790504,-3.0130952257236814,215.75114546139457,8.404629960705723
11.0,1081.5749265794818,2.0512711365514145,88.63848717161294,34.063405395959485,-6.3391850760655855,206.71507106706156,8.402616934311931
12.0,1129.4117767263228,2.1123932351147423,87.7521022998968,33.72240751772729,-9.463960394640091,194.6671722840832,8.401479136785007
13.0,1177.1529531728702,2.1885128108564085,86.87458127689784,33.395478750817155,-12.307374558572102,179.92645807196004,8.400836033835004
14.0,1224.7986472665245,2.27302607691968,86.00583546412886,33.08135528460802,-14.804106828507658,162.8732705175529,8.400472540863264
15.0,1272.3490499719915,2.3622006244138753,85.14577710948758,32.77890471096111,-16.90619974470122,143.93115489138228,8.40026708831402
16.0,1319.8043518720474,2.4539269968791544,84.29431933839271,32.48711070853689,-18.58390720703497,123.54810824820503,8.4001509629601
17.0,1367.1647431683034,2.5470130584629347,83.45137614500878,32.20505974017383,-19.824900551427586,102.17885634367488,8.40008532689049
18.0,1414.430413681967,2.640785158542009,82.6168623835587,31.931929464288842,-20.632214345207245,80.2694062941717,8.40004822824245
19.0,1461.601552854603,2.73486270303136,81.79069375972311,31.666978611136134,-21.021425122466205,58.24461359302835,8.400027259441387
20.0,1508.6783497488937,2.829030738168065,80.97278682212588,31.4095381154124,-21.017547741584252,36.49900818153124,8.400015407510349
21.0,1555.6609930493958,2.923167932650684,80.16305895390462,31.159003329989815,-20.65204095801755,15.390729621244546,8.400008708592807
22.0,1602.549671063297,3.0172058718926182,79.36142836436558,30.91482717295097,-19.960182838011654,-4.7618373370326665,8.400004922248108
23.0,1649.3445717211703,3.1111060504268355,78.56781408072193,30.676514082738038,-18.97894759742163,-23.68126196774139,8.400002782140236
24.0,1696.045882577728,3.204846867613549,77.78213593991471,30.44361467501638,-17.745412507295757,-41.13065870044038,8.400001572514046
25.0,1742.6537908125724,3.298416277388686,77.00431458051557,30.215721010509412,-16.295655145772642,-56.91218061245752,8.400000888812288
26.0,1789.1684832309472,3.3918076337745484,76.23427143471041,29.992462396159173,-14.664065018055007,-70.86484337285681,8.400000502372164
