time,tank1.storage,tank1.output,mpc_controller.output
0.0,0.9617629244619864,0.1,0.5617629244619864
1.0,0.99365055091489,0.1923525848923973,0.22424021134530087
2.0,0.9958525915600517,0.19873011018297798,0.2009321508281397
3.0,0.9960046642197649,0.19917051831201033,0.19932259097172345
4.0,0.9960151583974473,0.19920093284395296,0.1992114270216354
5.0,0.9960158825763185,0.19920303167948944,0.19920375585836067
6.0,0.9960159325502219,0.1992031765152637,0.1992032264891672
7.0,0.9960159359988059,0.19920318651004437,0.1992031899586283
8.0,0.9960159362367854,0.19920318719976118,0.19920318743774074
9.0,0.9960159362532072,0.19920318724735708,0.19920318726377884
10.0,0.9960159362543395,0.19920318725064143,0.19920318725177372
11.0,0.996015936254418,0.19920318725086789,0.19920318725094638
12.0,0.9960159362544225,0.1992031872508836,0.1992031872508881
13.0,0.9960159362544231,0.1992031872508845,0.19920318725088504
14.0,0.9960159362544232,0.19920318725088462,0.1992031872508847
15.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
16.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
17.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
18.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
19.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
20.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
21.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
22.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
23.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
24.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
25.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
26.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
27.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
28.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
29.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
30.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
31.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
32.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
33.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
34.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
35.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
36.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
37.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
38.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
39.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
40.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
41.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
42.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
43.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
44.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
45.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
46.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
47.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
48.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
49.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
50.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
51.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
52.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
53.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
54.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
55.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
56.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
57.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
58.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
59.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
60.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
61.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
62.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
63.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
64.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
65.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
66.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
67.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
68.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
69.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
70.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
71.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
72.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
73.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
74.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
75.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
76.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
77.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
78.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
79.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
80.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
81.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
82.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
83.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
84.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
85.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
86.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
87.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
88.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
