time,tank1.storage,tank2.storage,mpc_controller.output
0.0,6.348172773808833,3.7,4.548172773808833
1.0,8.139778802943407,3.8723172773808834,2.4264233065154572
2.0,8.45020761505551,4.202255498002613,1.1244066924064429
3.0,8.070213693716857,4.521994322257838,0.46502684016689927
4.0,7.489343286026981,4.763766401347294,0.22615096168180934
5.0,6.958443442116124,4.91722992978158,0.21803448469184122
6.0,6.570803695026158,4.998420532770495,0.3082045971216464
7.0,6.332378267276189,5.0306983356767985,0.41865494175264656
8.0,6.211258501952338,5.035098870444817,0.5121180614037684
9.0,6.167071410459599,5.026837361834449,0.5769387587024939
10.0,6.165214109457793,5.015189832651103,0.6148498400441542
11.0,6.1814711278531105,5.0048125145154945,0.632778429341097
12.0,6.201549128716371,4.997358062986368,0.6382251136485715
13.0,6.218595286417037,4.992843217984709,0.6372010705723032
14.0,6.2304452534616726,4.990597344378324,0.6337094956863387
15.0,6.237392535370794,4.989817201677201,0.6299918072552886
16.0,6.240689894610876,4.98982930500463,0.6270366127771618
17.0,6.241702181107588,4.990169631340139,0.6250812759577999
18.0,6.241526369273227,4.99056864553338,0.6239944062763974
19.0,6.240894672764268,4.990900201769031,0.6235209404183644
20.0,6.240218114057809,4.991127143824329,0.6234129085699672
21.0,6.239678768268172,4.991258062252069,0.6234824656161445
22.0,6.239321080435236,4.991318681297377,0.623610188993881
23.0,6.239121745639832,4.991335954178728,0.6237327732481199
24.0,6.239034523775337,4.991331134470371,0.6238249526994888
25.0,6.239014251001408,4.991318195039108,0.6238831796036048
26.0,6.239026624129288,4.991304845759361,0.6239137982280201
27.0,6.239049785191593,4.991294402452369,0.6239258234752338
28.0,6.23907211469185,4.991287580664983,0.6239273080194159
29.0,6.239088949452368,4.991283844551045,0.6239240462297032
30.0,6.2390996077238405,4.991282258927401,0.6239195532167097
31.0,6.23910522843378,4.99128193733386,0.6239155814823234
32.0,6.2391074486856795,4.991282218010506,0.623912743095278
33.0,6.2391077363534615,4.991282685627761,0.6239110325363503
34.0,6.239107150235812,4.991283123559636,0.6239101875176971
35.0,6.2391063341417565,4.9912834481382635,0.6239098989295258
36.0,6.239105610081138,4.9912836505351565,0.6239099093535566
37.0,6.2391050913811545,4.991283755226376,0.6239100423081303
38.0,6.239104778053498,4.991283794961194,0.623910195810459
39.0,6.239104622761533,4.9912837983963945,0.6239103225133849
40.0,6.239104569297366,4.991283785872999,0.6239104088119858
41.0,6.239104570703231,4.991283769568611,0.6239104583356011
42.0,6.239104594710897,4.991283755442858,0.623910481077989
43.0,6.239104622627891,4.9912837454835906,0.6239104873880836
44.0,6.2391046457430255,4.991283739560931,0.6239104853779239
45.0,6.239104661523397,4.991283736690117,0.6239104803546744
46.0,6.239104670601564,4.991283735756192,0.6239104752305065
47.0,6.239104674786739,4.9912837358468245,0.6239104712453316
48.0,6.239104675962772,4.991283736344645,0.6239104686547072
49.0,6.239104675610431,4.9912837368978415,0.6239104672439357
50.0,6.23910467470076,4.991283737346654,0.6239104666513722
51.0,6.23910467376786,4.9912837376483985,0.623910466537176
